year,city,country,city_temp,global_temp
1816,Bangkok,Thailand,25.96,6.94
1817,Bangkok,Thailand,25.83,6.98
1818,Bangkok,Thailand,26.48,7.83
1819,Bangkok,Thailand,25.90,7.37
1820,Bangkok,Thailand,26.42,7.62
1821,Bangkok,Thailand,26.81,8.09
1822,Bangkok,Thailand,26.93,8.19
1823,Bangkok,Thailand,26.78,7.72
1824,Bangkok,Thailand,,8.55
1825,Bangkok,Thailand,27.11,8.39
1826,Bangkok,Thailand,,8.36
1827,Bangkok,Thailand,,8.81
1828,Bangkok,Thailand,,8.17
1829,Bangkok,Thailand,,7.94
1830,Bangkok,Thailand,,8.52
1831,Bangkok,Thailand,,7.64
1832,Bangkok,Thailand,,7.45
1833,Bangkok,Thailand,26.83,8.01
1834,Bangkok,Thailand,26.82,8.15
1835,Bangkok,Thailand,25.89,7.39
1836,Bangkok,Thailand,26.36,7.70
1837,Bangkok,Thailand,25.84,7.38
1838,Bangkok,Thailand,27.08,7.51
1839,Bangkok,Thailand,26.59,7.63
1840,Bangkok,Thailand,26.83,7.80
1841,Bangkok,Thailand,27.58,7.69
1842,Bangkok,Thailand,26.88,8.02
1843,Bangkok,Thailand,26.89,8.17
1844,Bangkok,Thailand,26.39,7.65
1845,Bangkok,Thailand,26.13,7.85
1846,Bangkok,Thailand,26.55,8.55
1847,Bangkok,Thailand,26.18,8.09
1848,Bangkok,Thailand,26.52,7.98
1849,Bangkok,Thailand,26.62,7.98
1850,Bangkok,Thailand,26.72,7.90
1851,Bangkok,Thailand,26.85,8.18
1852,Bangkok,Thailand,26.67,8.10
1853,Bangkok,Thailand,26.94,8.04
1854,Bangkok,Thailand,26.94,8.21
1855,Bangkok,Thailand,26.84,8.11
1856,Bangkok,Thailand,26.56,8.00
1857,Bangkok,Thailand,26.72,7.76
1858,Bangkok,Thailand,26.95,8.10
1859,Bangkok,Thailand,26.88,8.25
1860,Bangkok,Thailand,26.65,7.96
1861,Bangkok,Thailand,26.59,7.85
1862,Bangkok,Thailand,25.37,7.56
1863,Bangkok,Thailand,26.61,8.11
1864,Bangkok,Thailand,26.49,7.98
1865,Bangkok,Thailand,26.93,8.18
1866,Bangkok,Thailand,27.04,8.29
1867,Bangkok,Thailand,26.84,8.44
1868,Bangkok,Thailand,26.92,8.25
1869,Bangkok,Thailand,26.35,8.43
1870,Bangkok,Thailand,26.40,8.20
1871,Bangkok,Thailand,26.75,8.12
1872,Bangkok,Thailand,26.88,8.19
1873,Bangkok,Thailand,26.99,8.35
1874,Bangkok,Thailand,26.91,8.43
1875,Bangkok,Thailand,26.54,7.86
1876,Bangkok,Thailand,26.50,8.08
1877,Bangkok,Thailand,27.09,8.54
1878,Bangkok,Thailand,27.58,8.83
1879,Bangkok,Thailand,26.95,8.17
1880,Bangkok,Thailand,26.83,8.12
1881,Bangkok,Thailand,27.03,8.27
1882,Bangkok,Thailand,26.85,8.13
1883,Bangkok,Thailand,26.70,7.98
1884,Bangkok,Thailand,26.50,7.77
1885,Bangkok,Thailand,26.97,7.92
1886,Bangkok,Thailand,26.87,7.95
1887,Bangkok,Thailand,26.62,7.91
1888,Bangkok,Thailand,27.12,8.09
1889,Bangkok,Thailand,27.21,8.32
1890,Bangkok,Thailand,26.78,7.97
